TA,AREA_CLUSTER_OF_AREAS,TOTAL_NUMBER_OF_VENUES,TOTAL_NUMBER_OF_EGMS,TOTAL_GMP_NZD,DATE,INDEX
ashburton district,Ashburton,8,120,1248796.4500000002,2013-09-01,8
ashburton district,Hinds/ Methven/ Rakaia,5,34,233974.71999999997,2013-09-01,8
auckland,Newton,7,98,904489.24,2013-09-01,8
auckland,Otahuhu,11,172,2584778.4600000004,2013-09-01,8
auckland,Onehunga,8,106,1716750.0200000003,2013-09-01,8
auckland,Royal Oak,4,54,653947.14,2013-09-01,8
buller district,Westport,6,62,532862.53,2013-09-01,8
buller district,Cape Foulwind/ Karamea/ Reefton,4,22,158003.48,2013-09-01,8
carterton district,Carterton,4,50,339399.87,2013-09-01,8
central otago district,Alexandra,3,47,406125.02,2013-09-01,8
central otago district,Clyde/ Millers Flat/ Omakau/ Ophir/ Ranfurly,4,17,119041.24,2013-09-01,8
central otago district,Cromwell,4,52,248783.05,2013-09-01,8
central otago district,Roxburgh,3,10,45421.719999999994,2013-09-01,8
chatham islands district,Chatham Islands,1,2,51633.4,2013-09-01,8
christchurch city,Avonhead/ Sockburn/ Upper Riccarton,4,72,1665939.08,2013-09-01,8
christchurch city,Christchurch Central,9,73,678084.5800000001,2013-09-01,8
christchurch city,New Brighton,4,42,483886.62,2013-09-01,8
christchurch city,Barrington/ Hillmorton/ Hoon Hay/ Spreydon,4,48,786593.07,2013-09-01,8
christchurch city,Addington/ Middleton/ Waltham,4,64,575975.31,2013-09-01,8
christchurch city,Belfast/ Kainga,3,42,593210.51,2013-09-01,8
christchurch city,Aranui/ Bromley/ Richmond/ Wainoni,4,72,960563.5499999999,2013-09-01,8
christchurch city,Halswell,3,45,787623.4700000001,2013-09-01,8
christchurch city,Riccarton,5,89,1300856.5299999998,2013-09-01,8
christchurch city,Harewood/ Merivale/ Redwood,5,76,1106062.16,2013-09-01,8
christchurch city,North New Brighton/ Parklands/ Waimari Beach,4,63,1006938.4,2013-09-01,8
christchurch city,Sydenham,5,57,636955.75,2013-09-01,8
christchurch city,St Albans,3,54,682628.18,2013-09-01,8
christchurch city,Hornby,4,72,1072920.93,2013-09-01,8
christchurch city,Bishopdale,3,54,1479764.96,2013-09-01,8
christchurch city,Philipstown,3,44,605557.7799999999,2013-09-01,8
christchurch city,Islington/ Templeton/ West Melton/ Yaldhurst,4,54,897798.98,2013-09-01,8
christchurch city,Shirley,5,76,975094.2000000002,2013-09-01,8
christchurch city,Lyttleton,4,29,144729.83000000002,2013-09-01,8
christchurch city,Linwood,3,38,755332,2013-09-01,8
christchurch city,Woolston,3,54,1019680.1900000001,2013-09-01,8
christchurch city,Papanui,3,36,679686.19,2013-09-01,8
clutha district,Kaitangata/ Milton/ Owaka,4,28,130896.08,2013-09-01,8
clutha district,Clinton/ Heriot/ Lawrence/ Tapanui,4,15,63387.96000000001,2013-09-01,8
clutha district,Balclutha,3,34,263045.22,2013-09-01,8
dunedin city,Kaikorai/ North East Valley/ Normanby,5,52,434651.1,2013-09-01,8
dunedin city,Caversham/ Kensington,3,39,319354.24,2013-09-01,8
dunedin city,Concord/ Kew/ Mornington,3,45,507814.55999999994,2013-09-01,8
dunedin city,Mosgiel,5,64,584641.94,2013-09-01,8
dunedin city,St Kilda,4,54,440103.99999999994,2013-09-01,8
far north district,Awanui/ Herekino/ Rawene/ Opononi/ Waipapakauri,5,41,234723.43,2013-09-01,8
far north district,Kaitaia,4,63,732473.8300000001,2013-09-01,8
far north district,Cooper’s Beach/ Maungonui/ Taipa Bay,3,37,199561.31,2013-09-01,8
far north district,Paihia,5,69,718608.9500000001,2013-09-01,8
far north district,Kaikohe,5,74,996686.9400000001,2013-09-01,8
franklin district,Pukekohe,14,196,2324220.54,2013-09-01,8
franklin district,Clarks Beach/ Patumahoe,3,44,327930.69,2013-09-01,8
gisborne district,Gisborne Central/ Kaiti/ Ruatoria/ Tokomaru Bay,14,210,2300064.84,2013-09-01,8
gore district,Gore/ Mataura,7,85,745533.7899999999,2013-09-01,8
grey district,Ahaura/ Dobson/ Paroa/ Taylorville,3,10,48677.56,2013-09-01,8
grey district,Greymouth,7,90,746178.45,2013-09-01,8
grey district,Cobden/ Rapahoe/ Runanga,3,14,64547.56,2013-09-01,8
hamilton city,Claudelands,3,45,632805.29,2013-09-01,8
hamilton city,Frankton,4,57,605414.6100000001,2013-09-01,8
hamilton city,Hamilton Central,15,220,2634083.0999999996,2013-09-01,8
hamilton city,Dinsdale/ Hillcrest/ Pukete,3,45,691255.2,2013-09-01,8
hamilton city,Glenview/ hamilton East,3,39,367131,2013-09-01,8
hamilton city,Nawton/ Te Rapa,3,54,901100.78,2013-09-01,8
hastings district,Hastings Central,16,226,2921177.63,2013-09-01,8
hastings district,Clive/ Flaxmere East/ Havelock North,5,82,831167.82,2013-09-01,8
horowhenua district,Levin,7,120,1570957.2,2013-09-01,8
hurunui district,Hamner Springs,3,25,184095.23,2013-09-01,8
invercargill city,Invercargill Central,10,112,1062219.7799999998,2013-09-01,8
invercargill city,Appleby/ Glengarry/ Strathern,4,72,927665.2000000001,2013-09-01,8
invercargill city,Hawthorndale/ Makarewa/ Waikiwi,3,44,746687.33,2013-09-01,8
kaikoura district,Kaikoura Township,4,48,224471.82,2013-09-01,8
kaipara district,Dargaville,4,37,343799.15,2013-09-01,8
kapiti coast district,Paraparaumu,6,95,1105359.91,2013-09-01,8
kapiti coast district,Otaki,4,61,471065.99,2013-09-01,8
kapiti coast district,Paekakariki/ Raumati/ Waikanae,4,63,756171.38,2013-09-01,8
kawerau district,Kawerau,4,54,513900.57999999996,2013-09-01,8
lower hutt city,Lower Hutt Central,4,54,696593.97,2013-09-01,8
lower hutt city,Petone,7,126,1683920.69,2013-09-01,8
lower hutt city,Wainuiomata,5,68,858639.8500000001,2013-09-01,8
lower hutt city,Naenae,4,54,761133.02,2013-09-01,8
mackenzie district,Fairlie/ Lake Tekapo/ Twizel,5,41,196817.61000000002,2013-09-01,8
manawatu district,Fielding,6,90,670569,2013-09-01,8
manukau city,Howick,9,144,2061554.0800000003,2013-09-01,8
manukau city,Highland Park/ Beachlands-Maretai/ Whitford,4,48,683693.6900000001,2013-09-01,8
manukau city,Papatoetoe,8,102,1874676.65,2013-09-01,8
manukau city,Manurewa,11,162,3310499.44,2013-09-01,8
manukau city,Mangere Bridge,3,39,1083111.65,2013-09-01,8
manukau city,Manukau City,14,207,4105995.01,2013-09-01,8
manukau city,Clendon/ Mangere East/ Wiri,3,41,972306.8,2013-09-01,8
manukau city,Otara,3,54,819810.6599999999,2013-09-01,8
manukau city,Mangere,4,63,1049983.25,2013-09-01,8
manukau city,Pakuranga,4,62,1279683.67,2013-09-01,8
manukau city,East Tamaki/ Flat Bush,3,36,773187.1,2013-09-01,8
marlborough district,Blenheim,9,145,1739234.63,2013-09-01,8
marlborough district,Picton,5,47,259936.22999999998,2013-09-01,8
marlborough district,Havelock/ Renwick/ Seddon/ Spring Creek,5,46,220419.16999999998,2013-09-01,8
masterton district,Masterton,7,107,985140.4900000001,2013-09-01,8
matamata-piako district,Matamata,4,62,558115.94,2013-09-01,8
matamata-piako district,Morrinsville,4,52,424981.6,2013-09-01,8
matamata-piako district,Tahuna/ Te Aroha/ Waihou-Walton,6,59,436897.12,2013-09-01,8
napier city,Bay View/ Bluff Hill/ Greenmeadows/ Meeanee,6,72,313469.99,2013-09-01,8
napier city,Maraenui/ Onekawa/ Westshore,3,45,602356.89,2013-09-01,8
napier city,Taradale,4,68,956182.1399999999,2013-09-01,8
nelson city,Nelson Central,12,184,1988855.16,2013-09-01,8
nelson city,Port Nelson/ Stoke/ Tahunanui/ The Wood,4,54,551938.2200000001,2013-09-01,8
new plymouth district,New Plymouth Central,16,230,2805436.86,2013-09-01,8
new plymouth district,Waitara,4,49,478386.32000000007,2013-09-01,8
new plymouth district,Inglewood/ Oakura/ Okato,3,28,188184.65,2013-09-01,8
new plymouth district,Bell Block/ Fitzroy/ Urenui,4,50,581363.01,2013-09-01,8
north shore city,Albany,8,108,1359931.27,2013-09-01,8
north shore city,Browns Bay,6,86,682460.1,2013-09-01,8
north shore city,Greenhithe/ Northcote,3,45,440804.92000000004,2013-09-01,8
north shore city,Belmont/ Devonport/ Milford,4,72,720201.8800000001,2013-09-01,8
north shore city,Takapuna Central,6,93,1287279.86,2013-09-01,8
north shore city,Birkenhead,4,40,526740.97,2013-09-01,8
opotiki district,Opotiki/ Te Kaha,5,69,694567.01,2013-09-01,8
otorohanga district,Kawhia/ Otorohanga,3,32,208903.63,2013-09-01,8
palmerston north city,Ashhurst/ Palmerston North Central,27,371,4008306.04,2013-09-01,8
papakura district,Drury/ Papakura/ Takanini,13,212,3174546.1700000004,2013-09-01,8
porirua city,Cannon’s Creek/ Titihi Bay/  Waitangirua,4,36,397241.80000000005,2013-09-01,8
queenstown-lakes district,Wanaka,3,31,230287.42999999996,2013-09-01,8
rangitikei district,Bulls,3,33,243590.95,2013-09-01,8
rangitikei district,Marton,5,52,403602.79000000004,2013-09-01,8
rodney district,Orewa,5,71,888290.1100000001,2013-09-01,8
rodney district,Huapai/ Kumeu/ Riverhead,3,42,382906.28,2013-09-01,8
rodney district,Snell’s Beach/ Wellsford,3,33,307941.26,2013-09-01,8
rodney district,Helensville/ Kaukapakapa/ Parakai,3,29,273681.63,2013-09-01,8
rodney district,Warkworth,3,45,386273.89999999997,2013-09-01,8
rodney district,Gulf Harbour/ Red Beach/ Silverdale/ Stanmore Bay/ Whangaparoa,7,96,1039787.34,2013-09-01,8
rotorua district,Rotorua Central,17,270,3912182.319999999,2013-09-01,8
rotorua district,Fenton Park/ Mangakakahi/ Pukehangi,4,56,527429.26,2013-09-01,8
rotorua district,Ngongotaha/ Selwyn Heights,3,29,344835.37,2013-09-01,8
rotorua district,Hillcrest/ Reporoa/ Tihiotonga,3,35,306401.77,2013-09-01,8
ruapehu district,Taumarunui Central,3,45,439561.85,2013-09-01,8
ruapehu district,Ohakune/ Raetihi/ Waioru,3,42,268018.9,2013-09-01,8
selwyn district,Leeston/ Lincoln/ Southbridge/ Springston,3,23,214117.17,2013-09-01,8
south waikato district,Tokoroa,8,133,1322566.5699999998,2013-09-01,8
south waikato district,Putaruru/ Tirau,4,45,398615.47,2013-09-01,8
south wairarapa district,Featherston/ Martinborough,3,38,207792.12,2013-09-01,8
south wairarapa district,Greytown,3,31,188874.97000000003,2013-09-01,8
southland district,Riverton,3,17,80454.55,2013-09-01,8
southland district,Winton,3,28,140420.36000000002,2013-09-01,8
southland district,Edendale/ Tokanui/ Waituna/ Woodlands/ Wyndham,6,21,111735.73999999999,2013-09-01,8
southland district,Lumsden/ Manapouri/ Riversdale/ Tutapere,5,21,65943.51,2013-09-01,8
southland district,Nightcaps/ Otautau,3,15,69690.62,2013-09-01,8
southland district,Te Anau,3,30,153642.68,2013-09-01,8
stratford district,Stratford,5,49,335063.18000000005,2013-09-01,8
tararua district,Ekatahuna/ Ormandville/ Pongaroa/ Woodville,5,32,127521.66,2013-09-01,8
tararua district,Pahiatua,4,33,185633.02999999997,2013-09-01,8
tararua district,Dannevirke,4,69,571540.18,2013-09-01,8
tasman district,Brightwater/ Mapua/ Tapawera/ Wakefield,4,22,86537.20999999999,2013-09-01,8
tasman district,Richmond,5,86,964199.8400000001,2013-09-01,8
tasman district,Collingwood/ Riwaka/ Takaka,3,27,153256.4,2013-09-01,8
tasman district,Motueka,4,54,521501.7299999999,2013-09-01,8
taupo district,Taupo,12,152,1578873.54,2013-09-01,8
taupo district,Mangakino/ Turangi,4,56,303878.45000000007,2013-09-01,8
tauranga city,Tauranga Central,23,337,4145225.0500000007,2013-09-01,8
tauranga city,Mt Maunganui,10,135,1783973.83,2013-09-01,8
tauranga city,Greerton/ Papamoa,5,66,1055855.0899999999,2013-09-01,8
thames-coromandel district,Coromandel,4,34,185197.94,2013-09-01,8
thames-coromandel district,Whitianga,5,67,375454.79,2013-09-01,8
thames-coromandel district,Thames,7,82,862046.3,2013-09-01,8
thames-coromandel district,Whangamata,4,66,474774.58,2013-09-01,8
thames-coromandel district,Pauanui Beach/ Tairua,3,21,86606.33,2013-09-01,8
timaru district,Timaru Gardens,5,72,982776.83,2013-09-01,8
timaru district,Timaru,10,113,1208531.82,2013-09-01,8
timaru district,Geraldine,4,32,246951.32999999996,2013-09-01,8
timaru district,Temuka,5,51,353418.30999999994,2013-09-01,8
upper hutt city,Heretaunga-Silverstream/ Trentham/ Upper Hutt Central,10,148,2347976.89,2013-09-01,8
waikato district,Ngaruwahia,4,50,352653.08999999997,2013-09-01,8
waikato district,Huntly,4,59,566067.58,2013-09-01,8
waikato district,Raglan/ Taupiri/ Whatawhata,4,50,282978.48,2013-09-01,8
waikato district,Maramarua/ Rangiriri/ Te Kauwhata,3,30,199268.87999999998,2013-09-01,8
waimakariri district,Kaiapoi,5,63,872095.46,2013-09-01,8
waimakariri district,Oxford/ Woodend,3,39,239629.08000000002,2013-09-01,8
waimakariri district,Rangiora,6,72,929140.45,2013-09-01,8
waimate district,Waimate,6,34,222315.78999999998,2013-09-01,8
