DISTRICT,AREA_CLUSTER_OF_AREAS,TOTAL_NUMBER_OF_VENUES,TOTAL_NUMBER_OF_EGMS,TOTAL_GMP_NZD,DATE,INDEX
ASHBURTON DISTRICT,Ashburton,8,120,1248796.4500000002,2013-09-01,8
ASHBURTON DISTRICT,Hinds/ Methven/ Rakaia,5,34,233974.71999999997,2013-09-01,8
AUCKLAND CITY,Newton,7,98,904489.24,2013-09-01,8
AUCKLAND CITY,Otahuhu,11,172,2584778.4600000004,2013-09-01,8
AUCKLAND CITY,Onehunga,8,106,1716750.0200000003,2013-09-01,8
AUCKLAND CITY,Royal Oak,4,54,653947.14,2013-09-01,8
BULLER DISTRICT,Westport,6,62,532862.53,2013-09-01,8
BULLER DISTRICT,Cape Foulwind/ Karamea/ Reefton,4,22,158003.48,2013-09-01,8
CARTERTON DISTRICT,Carterton,4,50,339399.87,2013-09-01,8
CENTRAL OTAGO DISTRICT,Alexandra,3,47,406125.02,2013-09-01,8
CENTRAL OTAGO DISTRICT,Clyde/ Millers Flat/ Omakau/ Ophir/ Ranfurly,4,17,119041.24,2013-09-01,8
CENTRAL OTAGO DISTRICT,Cromwell,4,52,248783.05,2013-09-01,8
CENTRAL OTAGO DISTRICT,Roxburgh,3,10,45421.719999999994,2013-09-01,8
CHATHAM ISLANDS DISTRICT,Chatham Islands,1,2,51633.4,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Avonhead/ Sockburn/ Upper Riccarton,4,72,1665939.08,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Christchurch Central,9,73,678084.5800000001,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,New Brighton,4,42,483886.62,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Barrington/ Hillmorton/ Hoon Hay/ Spreydon,4,48,786593.07,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Addington/ Middleton/ Waltham,4,64,575975.31,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Belfast/ Kainga,3,42,593210.51,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Aranui/ Bromley/ Richmond/ Wainoni,4,72,960563.5499999999,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Halswell,3,45,787623.4700000001,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Riccarton,5,89,1300856.5299999998,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Harewood/ Merivale/ Redwood,5,76,1106062.16,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,North New Brighton/ Parklands/ Waimari Beach,4,63,1006938.4,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Sydenham,5,57,636955.75,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,St Albans,3,54,682628.18,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Hornby,4,72,1072920.93,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Bishopdale,3,54,1479764.96,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Philipstown,3,44,605557.7799999999,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Islington/ Templeton/ West Melton/ Yaldhurst,4,54,897798.98,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Shirley,5,76,975094.2000000002,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Lyttleton,4,29,144729.83000000002,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Linwood,3,38,755332,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Woolston,3,54,1019680.1900000001,2013-09-01,8
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Papanui,3,36,679686.19,2013-09-01,8
CLUTHA DISTRICT,Kaitangata/ Milton/ Owaka,4,28,130896.08,2013-09-01,8
CLUTHA DISTRICT,Clinton/ Heriot/ Lawrence/ Tapanui,4,15,63387.96000000001,2013-09-01,8
CLUTHA DISTRICT,Balclutha,3,34,263045.22,2013-09-01,8
DUNEDIN CITY,Kaikorai/ North East Valley/ Normanby,5,52,434651.1,2013-09-01,8
DUNEDIN CITY,Caversham/ Kensington,3,39,319354.24,2013-09-01,8
DUNEDIN CITY,Concord/ Kew/ Mornington,3,45,507814.55999999994,2013-09-01,8
DUNEDIN CITY,Mosgiel,5,64,584641.94,2013-09-01,8
DUNEDIN CITY,St Kilda,4,54,440103.99999999994,2013-09-01,8
FAR NORTH DISTRICT,Awanui/ Herekino/ Rawene/ Opononi/ Waipapakauri,5,41,234723.43,2013-09-01,8
FAR NORTH DISTRICT,Kaitaia,4,63,732473.8300000001,2013-09-01,8
FAR NORTH DISTRICT,Cooper’s Beach/ Maungonui/ Taipa Bay,3,37,199561.31,2013-09-01,8
FAR NORTH DISTRICT,Paihia,5,69,718608.9500000001,2013-09-01,8
FAR NORTH DISTRICT,Kaikohe,5,74,996686.9400000001,2013-09-01,8
FRANKLIN DISTRICT,Pukekohe,14,196,2324220.54,2013-09-01,8
FRANKLIN DISTRICT,Clarks Beach/ Patumahoe,3,44,327930.69,2013-09-01,8
GISBORNE DISTRICT,Gisborne Central/ Kaiti/ Ruatoria/ Tokomaru Bay,14,210,2300064.84,2013-09-01,8
GORE DISTRICT,Gore/ Mataura,7,85,745533.7899999999,2013-09-01,8
GREY DISTRICT,Ahaura/ Dobson/ Paroa/ Taylorville,3,10,48677.56,2013-09-01,8
GREY DISTRICT,Greymouth,7,90,746178.45,2013-09-01,8
GREY DISTRICT,Cobden/ Rapahoe/ Runanga,3,14,64547.56,2013-09-01,8
HAMILTON CITY,Claudelands,3,45,632805.29,2013-09-01,8
HAMILTON CITY,Frankton,4,57,605414.6100000001,2013-09-01,8
HAMILTON CITY,Hamilton Central,15,220,2634083.0999999996,2013-09-01,8
HAMILTON CITY,Dinsdale/ Hillcrest/ Pukete,3,45,691255.2,2013-09-01,8
HAMILTON CITY,Glenview/ hamilton East,3,39,367131,2013-09-01,8
HAMILTON CITY,Nawton/ Te Rapa,3,54,901100.78,2013-09-01,8
HASTINGS DISTRICT,Hastings Central,16,226,2921177.63,2013-09-01,8
HASTINGS DISTRICT,Clive/ Flaxmere East/ Havelock North,5,82,831167.82,2013-09-01,8
HOROWHENUA DISTRICT,Levin,7,120,1570957.2,2013-09-01,8
HURUNUI DISTRICT,Hamner Springs,3,25,184095.23,2013-09-01,8
INVERCARGILL CITY,Invercargill Central,10,112,1062219.7799999998,2013-09-01,8
INVERCARGILL CITY,Appleby/ Glengarry/ Strathern,4,72,927665.2000000001,2013-09-01,8
INVERCARGILL CITY,Hawthorndale/ Makarewa/ Waikiwi,3,44,746687.33,2013-09-01,8
KAIKOURA DISTRICT,Kaikoura Township,4,48,224471.82,2013-09-01,8
KAIPARA DISTRICT,Dargaville,4,37,343799.15,2013-09-01,8
KAPITI COAST DISTRICT,Paraparaumu,6,95,1105359.91,2013-09-01,8
KAPITI COAST DISTRICT,Otaki,4,61,471065.99,2013-09-01,8
KAPITI COAST DISTRICT,Paekakariki/ Raumati/ Waikanae,4,63,756171.38,2013-09-01,8
KAWERAU DISTRICT,Kawerau,4,54,513900.57999999996,2013-09-01,8
LOWER HUTT CITY,Lower Hutt Central,4,54,696593.97,2013-09-01,8
LOWER HUTT CITY,Petone,7,126,1683920.69,2013-09-01,8
LOWER HUTT CITY,Wainuiomata,5,68,858639.8500000001,2013-09-01,8
LOWER HUTT CITY,Naenae,4,54,761133.02,2013-09-01,8
MACKENZIE DISTRICT,Fairlie/ Lake Tekapo/ Twizel,5,41,196817.61000000002,2013-09-01,8
MANAWATU DISTRICT,Fielding,6,90,670569,2013-09-01,8
MANUKAU CITY,Howick,9,144,2061554.0800000003,2013-09-01,8
MANUKAU CITY,Highland Park/ Beachlands-Maretai/ Whitford,4,48,683693.6900000001,2013-09-01,8
MANUKAU CITY,Papatoetoe,8,102,1874676.65,2013-09-01,8
MANUKAU CITY,Manurewa,11,162,3310499.44,2013-09-01,8
MANUKAU CITY,Mangere Bridge,3,39,1083111.65,2013-09-01,8
MANUKAU CITY,Manukau City,14,207,4105995.01,2013-09-01,8
MANUKAU CITY,Clendon/ Mangere East/ Wiri,3,41,972306.8,2013-09-01,8
MANUKAU CITY,Otara,3,54,819810.6599999999,2013-09-01,8
MANUKAU CITY,Mangere,4,63,1049983.25,2013-09-01,8
MANUKAU CITY,Pakuranga,4,62,1279683.67,2013-09-01,8
MANUKAU CITY,East Tamaki/ Flat Bush,3,36,773187.1,2013-09-01,8
MARLBOROUGH DISTRICT,Blenheim,9,145,1739234.63,2013-09-01,8
MARLBOROUGH DISTRICT,Picton,5,47,259936.22999999998,2013-09-01,8
MARLBOROUGH DISTRICT,Havelock/ Renwick/ Seddon/ Spring Creek,5,46,220419.16999999998,2013-09-01,8
MASTERTON DISTRICT,Masterton,7,107,985140.4900000001,2013-09-01,8
MATAMATA-PIAKO DISTRICT,Matamata,4,62,558115.94,2013-09-01,8
MATAMATA-PIAKO DISTRICT,Morrinsville,4,52,424981.6,2013-09-01,8
MATAMATA-PIAKO DISTRICT,Tahuna/ Te Aroha/ Waihou-Walton,6,59,436897.12,2013-09-01,8
NAPIER CITY,Bay View/ Bluff Hill/ Greenmeadows/ Meeanee,6,72,313469.99,2013-09-01,8
NAPIER CITY,Maraenui/ Onekawa/ Westshore,3,45,602356.89,2013-09-01,8
NAPIER CITY,Taradale,4,68,956182.1399999999,2013-09-01,8
NELSON CITY,Nelson Central,12,184,1988855.16,2013-09-01,8
NELSON CITY,Port Nelson/ Stoke/ Tahunanui/ The Wood,4,54,551938.2200000001,2013-09-01,8
NEW PLYMOUTH DISTRICT,New Plymouth Central,16,230,2805436.86,2013-09-01,8
NEW PLYMOUTH DISTRICT,Waitara,4,49,478386.32000000007,2013-09-01,8
NEW PLYMOUTH DISTRICT,Inglewood/ Oakura/ Okato,3,28,188184.65,2013-09-01,8
NEW PLYMOUTH DISTRICT,Bell Block/ Fitzroy/ Urenui,4,50,581363.01,2013-09-01,8
NORTH SHORE CITY,Albany,8,108,1359931.27,2013-09-01,8
NORTH SHORE CITY,Browns Bay,6,86,682460.1,2013-09-01,8
NORTH SHORE CITY,Greenhithe/ Northcote,3,45,440804.92000000004,2013-09-01,8
NORTH SHORE CITY,Belmont/ Devonport/ Milford,4,72,720201.8800000001,2013-09-01,8
NORTH SHORE CITY,Takapuna Central,6,93,1287279.86,2013-09-01,8
NORTH SHORE CITY,Birkenhead,4,40,526740.97,2013-09-01,8
OPOTIKI DISTRICT,Opotiki/ Te Kaha,5,69,694567.01,2013-09-01,8
OTOROHANGA DISTRICT,Kawhia/ Otorohanga,3,32,208903.63,2013-09-01,8
PALMERSTON NORTH CITY,Ashhurst/ Palmerston North Central,27,371,4008306.04,2013-09-01,8
PAPAKURA DISTRICT,Drury/ Papakura/ Takanini,13,212,3174546.1700000004,2013-09-01,8
PORIRUA CITY,Cannon’s Creek/ Titihi Bay/  Waitangirua,4,36,397241.80000000005,2013-09-01,8
QUEENSTOWN-LAKES DISTRICT,Wanaka,3,31,230287.42999999996,2013-09-01,8
RANGITIKEI DISTRICT,Bulls,3,33,243590.95,2013-09-01,8
RANGITIKEI DISTRICT,Marton,5,52,403602.79000000004,2013-09-01,8
RODNEY DISTRICT,Orewa,5,71,888290.1100000001,2013-09-01,8
RODNEY DISTRICT,Huapai/ Kumeu/ Riverhead,3,42,382906.28,2013-09-01,8
RODNEY DISTRICT,Snell’s Beach/ Wellsford,3,33,307941.26,2013-09-01,8
RODNEY DISTRICT,Helensville/ Kaukapakapa/ Parakai,3,29,273681.63,2013-09-01,8
RODNEY DISTRICT,Warkworth,3,45,386273.89999999997,2013-09-01,8
RODNEY DISTRICT,Gulf Harbour/ Red Beach/ Silverdale/ Stanmore Bay/ Whangaparoa,7,96,1039787.34,2013-09-01,8
ROTORUA DISTRICT,Rotorua Central,17,270,3912182.319999999,2013-09-01,8
ROTORUA DISTRICT,Fenton Park/ Mangakakahi/ Pukehangi,4,56,527429.26,2013-09-01,8
ROTORUA DISTRICT,Ngongotaha/ Selwyn Heights,3,29,344835.37,2013-09-01,8
ROTORUA DISTRICT,Hillcrest/ Reporoa/ Tihiotonga,3,35,306401.77,2013-09-01,8
RUAPEHU DISTRICT,Taumarunui Central,3,45,439561.85,2013-09-01,8
RUAPEHU DISTRICT,Ohakune/ Raetihi/ Waioru,3,42,268018.9,2013-09-01,8
SELWYN DISTRICT,Leeston/ Lincoln/ Southbridge/ Springston,3,23,214117.17,2013-09-01,8
SOUTH WAIKATO DISTRICT,Tokoroa,8,133,1322566.5699999998,2013-09-01,8
