TA,AREA_CLUSTER_OF_AREAS,VENUE_NAME,VENUE_NUMBER,DATE,INDEX
ashburton district,Ashburton,ASHBURTON CLUB & MUTUAL SCHOOL OF ARTS INC,378,2013-09-01,8
ashburton district,Ashburton,ASHBURTON RSA,1180,2013-09-01,8
ashburton district,Ashburton,DEVON TAVERN,704,2013-09-01,8
ashburton district,Ashburton,HOTEL ASHBURTON,710,2013-09-01,8
ashburton district,Ashburton,MILLIES,2000073,2013-09-01,8
ashburton district,Ashburton,ROBBIES BAR & BISTRO ASHBURTON,2000182,2013-09-01,8
ashburton district,Ashburton,SOMERSET TAVERN,702,2013-09-01,8
ashburton district,Ashburton,TINWALD TAVERN,711,2013-09-01,8
average gmp per venue for quarter to september 2010,Hinds/ Methven/ Rakaia,BLUE PUB,1136,2013-09-01,8
average gmp per venue for quarter to september 2010,Hinds/ Methven/ Rakaia,CANTERBURY HOTEL,966,2013-09-01,8
average gmp per venue for quarter to september 2010,Hinds/ Methven/ Rakaia,HINDS TAVERN,701,2013-09-01,8
average gmp per venue for quarter to september 2010,Hinds/ Methven/ Rakaia,RAILWAY TAVERN,1528,2013-09-01,8
average gmp per venue for quarter to september 2010,Hinds/ Methven/ Rakaia,SOUTH RAKAIA HOTEL,1696,2013-09-01,8
auckland city,Newton,24 SEVEN,1788,2013-09-01,8
auckland city,Newton,CHARLIES BAR,1406,2013-09-01,8
auckland city,Newton,FAMILY,585,2013-09-01,8
auckland city,Newton,KINGS ARMS TAVERN,1883,2013-09-01,8
auckland city,Newton,LATESHIFT,1229,2013-09-01,8
auckland city,Newton,MERCURY BAR,790,2013-09-01,8
auckland city,Newton,THE NAVAL AND FAMILY BAR HOTEL,1990,2013-09-01,8
auckland city,Newton,SALUTE BAR & CLUB,1110,2013-09-01,8
auckland city,Newton,THE GOLDEN EAGLE LOUNGE,639,2013-09-01,8
auckland city,Auckland City,ALBION HOTEL,1535,2013-09-01,8
auckland city,Auckland City,FOX'S ALE-HOUSE,1374,2013-09-01,8
auckland city,Auckland City,JAX'S SPORTS BAR AND POOL HALL,2008,2013-09-01,8
auckland city,Auckland City,KANG NAM STATION,1818,2013-09-01,8
auckland city,Auckland City,MARITIME CLUB INC,464,2013-09-01,8
auckland city,Auckland City,QF TAVERN,131,2013-09-01,8
auckland city,Auckland City,RIGHT TRACK SPORTS CAFE,1086,2013-09-01,8
auckland city,Auckland City,ROSE & CROWN,123,2013-09-01,8
auckland city,Auckland City,SHAKESPEARE BREWERY & HOTEL,1273,2013-09-01,8
auckland city,Auckland City,SPUTNIK BAR,124,2013-09-01,8
auckland city,Auckland City,THE FAT CAMEL,1377,2013-09-01,8
auckland city,Auckland City,THE MUDDY FARMER TAVERN,1375,2013-09-01,8
auckland city,Auckland City,THE PLAYHOUSE,1962,2013-09-01,8
auckland city,Auckland City,WINNERS SPORTS TAVERN,624,2013-09-01,8
auckland city,Auckland City,HAVANA BAR,852,2013-09-01,8
auckland city,Otahuhu,AOTEA SPORTS BAR,1108,2013-09-01,8
auckland city,Otahuhu,GRACE'S PLACE TAB SPORTS BAR,1819,2013-09-01,8
auckland city,Otahuhu,MILESTONE BAR,1938,2013-09-01,8
auckland city,Otahuhu,MT RICHMOND MOTOR INN,789,2013-09-01,8
auckland city,Otahuhu,OPAL LOUNGE,804,2013-09-01,8
auckland city,Otahuhu,OTAHUHU RECREATIONAL & SPORTS SOCIETY INC,558,2013-09-01,8
auckland city,Otahuhu,OTAHUHU WORKINGMEN'S & COSMOPOLITAN CLUB,177,2013-09-01,8
auckland city,Otahuhu,PHOENIX TAVERN,1389,2013-09-01,8
auckland city,Otahuhu,STAR HOTEL,977,2013-09-01,8
auckland city,Otahuhu,STARS BAR,1192,2013-09-01,8
auckland city,Otahuhu,THE UPPER LOUNGE BAR,127,2013-09-01,8
auckland city,Onehunga,ARTHURS BAR & GRILL,1094,2013-09-01,8
auckland city,Onehunga,JELLICOE,1698,2013-09-01,8
auckland city,Onehunga,ONEHUNGA & DISTRICT RSA,712,2013-09-01,8
auckland city,Onehunga,ONEHUNGA BOWLING CLUB INC,100,2013-09-01,8
auckland city,Onehunga,ONEHUNGA RSA BOWLING CLUB,74,2013-09-01,8
auckland city,Onehunga,ONEHUNGA WORKINGMEN'S CLUB,463,2013-09-01,8
auckland city,Onehunga,THE LANDING SEAFOOD RESTAURANT & BAR,1790,2013-09-01,8
auckland city,Onehunga,TRIDENT TAVERN,289,2013-09-01,8
auckland city,Royal Oak,AUCKLAND CONFEDERATION OF BILLIARD SPORTS INC,71,2013-09-01,8
auckland city,Royal Oak,FINNEGANS IRISH BAR,1214,2013-09-01,8
auckland city,Royal Oak,ROUNDABOUT BAR & BRASSERIE,1319,2013-09-01,8
auckland city,Royal Oak,THE PALACE,1791,2013-09-01,8
auckland city,Epsom/ Mt Eden/ Parnell,BAR FIFA,253,2013-09-01,8
auckland city,Epsom/ Mt Eden/ Parnell,OSCAR'S BAR,758,2013-09-01,8
