DISTRICT,AREA_CLUSTER_OF_AREAS,VENUE_NAME,VENUE_NUMBER,DATE,INDEX
ASHBURTON DISTRICT,Ashburton,ASHBURTON CLUB & MUTUAL SCHOOL OF ARTS INC,378,2011-12-01,31
ASHBURTON DISTRICT,Ashburton,ASHBURTON RSA,1180,2011-12-01,31
ASHBURTON DISTRICT,Ashburton,DEVON TAVERN,704,2011-12-01,31
ASHBURTON DISTRICT,Ashburton,HOTEL ASHBURTON,710,2011-12-01,31
ASHBURTON DISTRICT,Ashburton,TINWALD TAVERN,711,2011-12-01,31
ASHBURTON DISTRICT,Hinds/ Methven/ Rakaia,BLUE PUB,1136,2011-12-01,31
ASHBURTON DISTRICT,Hinds/ Methven/ Rakaia,HINDS TAVERN,701,2011-12-01,31
ASHBURTON DISTRICT,Hinds/ Methven/ Rakaia,SOUTH RAKAIA HOTEL,1696,2011-12-01,31
ASHBURTON DISTRICT,Hinds/ Methven/ Rakaia,THE BROWN PUB,966,2011-12-01,31
AUCKLAND CITY,Newton,CHARLIES BAR,1406,2011-12-01,31
AUCKLAND CITY,Newton,FAMILY,585,2011-12-01,31
AUCKLAND CITY,Newton,MERCURY BAR,790,2011-12-01,31
AUCKLAND CITY,Otahuhu,MILESTONE BAR,1938,2011-12-01,31
AUCKLAND CITY,Otahuhu,STAR HOTEL,977,2011-12-01,31
AUCKLAND CITY,Otahuhu,GEMINI BAR,1192,2011-12-01,31
AUCKLAND CITY,Onehunga,ARTHURS BAR & GRILL,1094,2011-12-01,31
AUCKLAND CITY,Onehunga,ONEHUNGA & DISTRICT RSA,712,2011-12-01,31
AUCKLAND CITY,Onehunga,ONEHUNGA WORKINGMEN'S CLUB,463,2011-12-01,31
AUCKLAND CITY,Onehunga,THE LANDING SEAFOOD RESTAURANT & BAR,1790,2011-12-01,31
AUCKLAND CITY,Onehunga,TRIDENT TAVERN,289,2011-12-01,31
AUCKLAND CITY,Epsom/ Mt Eden/ Parnell,THE AUCKLAND TROTTING CLUB,179,2011-12-01,31
AUCKLAND CITY,Blockhouse Bay/ Lynfield/ Owairaka/ Mount Albert,BLOCKHOUSE BAY BOWLING CLUB,731,2011-12-01,31
AUCKLAND CITY,Blockhouse Bay/ Lynfield/ Owairaka/ Mount Albert,HOPS N HOOVES,811,2011-12-01,31
AUCKLAND CITY,Point Chevalier,HARLEQUINS,581,2011-12-01,31
AUCKLAND CITY,Point Chevalier,POINT CHEVALIER BOWLING CLUB,1387,2011-12-01,31
AUCKLAND CITY,Point Chevalier,THE CROWN HOTEL,575,2011-12-01,31
AUCKLAND CITY,Balmoral/ Glen Innes/ Kingsland,JACKS,1391,2011-12-01,31
AUCKLAND CITY,Balmoral/ Glen Innes/ Kingsland,TAB GLEN INNES,902,2011-12-01,31
AUCKLAND CITY,Balmoral/ Glen Innes/ Kingsland,THE COURTYARD BAR,1847,2011-12-01,31
AUCKLAND CITY,Panmure,LANDMARK BAR & EATERY,345,2011-12-01,31
