SOCIETY_NAME,VENUE_NAME,VENUE_PHYSICAL_ADDRESS,TERRITORIAL_AUTHORITY,COUNT_OF_EGM
Clubs Hastings Incorporated,Club Hastings,"308 VICTORIA STREET
HASTINGS CENTRAL
HAWKES BAY 4201",HASTINGS DISTRICT,30
PETONE WORKING MEN'S CLUB AND LITERARY INSTITUTE,PETONE WORKINGMENS CLUB,"47 UDY STREET
PETONE
LOWER HUTT 5012",LOWER HUTT CITY,30
Clubs of Marlborough,CLUBS OF MARLBOROUGH,"42 ALFRED STREET
BLENHEIM
MARLBOROUGH 7273",MARLBOROUGH DISTRICT,30
Upper Hutt Cosmopolitan Club Incorporated,UPPER HUTT COSMOPOLITAN CLUB,"11-15 LOGAN STREET
UPPER HUTT CENTRAL
UPPER HUTT 6007",UPPER HUTT CITY,30
INVERCARGILL WORKINGMEN'S CLUB INC,INVERCARGILL WMC,"154 ESK STREET
INVERCARGILL CENTRAL
INVERCARGILL 9501",INVERCARGILL CITY,24
Kapiti Club Inc ,KAPITI CLUB,"32A MARINE PARADE
PARAPARAUMU
KAPITI COAST 5254",KAPITI COAST DISTRICT,24
Avondale Returned Services Association,AVONDALE RETURNED SERVICES ASSOCIATION,"48 Rosebank Road
AVONDALE
AUCKLAND 1026
NEW ZEALAND",AUCKLAND COUNCIL - WHAU,22
TE PUKE CITIZENS CLUB INC,TE PUKE CITIZENS CLUB,"179-185 JELLICOE STREET
TE PUKE
BAY OF PLENTY 3119
NEW ZEALAND",WESTERN BAY OF PLENTY DISTRICT,21
ASHBURTON CLUB & MUTUAL SCHOOL OF ARTS INC,ASHBURTON CLUB & MUTUAL SCHOOL OF ARTS INC,"231 BURNETT STREET
ASHBURTON
CANTERBURY 7700
NEW ZEALAND",ASHBURTON DISTRICT,18
THE LION FOUNDATION (2008),DEVON TAVERN,"116-118 VICTORIA STREET
ASHBURTON
CANTERBURY 8300",ASHBURTON DISTRICT,18
THE LION FOUNDATION (2008),HOTEL ASHBURTON,"RACECOURSE ROAD
ASHBURTON
CANTERBURY 8300",ASHBURTON DISTRICT,18
THE LION FOUNDATION (2008),TINWALD TAVERN,"103-107 ARCHIBALD STREET
ASHBURTON
CANTERBURY 8300",ASHBURTON DISTRICT,18
AUCKLAND TROTTING CLUB (INCORPORATED),THE AUCKLAND TROTTING CLUB,"ALEXANDRA PARK RACEWAY GREENLANE ROAD WEST
EPSOM
AUCKLAND 1023",Auckland Council - Albert - Eden,18
BLUESKY COMMUNITY TRUST LIMITED,Wapiti Sports Bar,"2/12 Carrington Road
POINT CHEVALIER
AUCKLAND 1022
NEW ZEALAND",AUCKLAND COUNCIL - ALBERT - EDEN,18
BLUESKY COMMUNITY TRUST LIMITED,F BAR,"429 NEW NORTH ROAD
KINGSLAND
AUCKLAND 1021",AUCKLAND COUNCIL - ALBERT - EDEN,18
The Point Chevalier Memorial RSA Incorporated,THE POINT CHEVALIER MEMORIAL RSA,"1136 GREAT NORTH ROAD
POINT CHEVALIER
AUCKLAND 1022",Auckland Council - Albert - Eden,18
TRILLIAN TRUST,HARLEQUINS,"1130 GREAT NORTH ROAD
POINT CHEVALIER
AUCKLAND 1022",AUCKLAND COUNCIL - ALBERT - EDEN,18
TRILLIAN TRUST,JACKS,"SHOP 2 8-14 ROCKLANDS AVENUE
BALMORAL
AUCKLAND 1003",AUCKLAND COUNCIL - ALBERT - EDEN,18
YOUTHTOWN INCORPORATED,THE CROWN HOTEL,"1104 GREAT NORTH ROAD
POINT CHEVALIER
AUCKLAND 1022",AUCKLAND COUNCIL - ALBERT - EDEN,18
BLUESKY COMMUNITY TRUST LIMITED,The Hub Bar & Grill,"145 KITCHENER ROAD
MILFORD
AUCKLAND 0741",AUCKLAND COUNCIL - DEVONPORT - TAKAPUNA,18
BLUESKY COMMUNITY TRUST LIMITED,THE RUDDER,"341 LAKE ROAD
TAKAPUNA CENTRAL
NORTH SHORE CITY 1309",AUCKLAND COUNCIL - DEVONPORT - TAKAPUNA,18
GRASSROOTS TRUST LIMITED,On the Rocks,"97-99 KITCHENER ROAD
MILFORD
AUCKLAND 0741",AUCKLAND COUNCIL - DEVONPORT - TAKAPUNA,18
PUB CHARITY LIMITED,FLORRIE MCGREALS IRISH PUB,"SHOP 3 138 HURSTMERE ROAD
TAKAPUNA
AUCKLAND 0740",AUCKLAND COUNCIL - DEVONPORT - TAKAPUNA,18
PUB CHARITY LIMITED,SEVEN STARS RESTAURANT & BAR,"5-15 VICTORIA ROAD
DEVONPORT
AUCKLAND 0624",AUCKLAND COUNCIL - DEVONPORT - TAKAPUNA,18
FRANKLIN CLUB INCORPORATED,FRANKLIN CLUB INCORPORATED,"7 EAST STREET
PUKEKOHE
FRANKLIN 2120
NEW ZEALAND",Auckland Council - Franklin,18
GRASSROOTS TRUST LIMITED,The Kentish Hotel ,"5 QUEEN STREET
WAIUKU
FRANKLIN 2123",AUCKLAND COUNCIL - FRANKLIN,18
GRASSROOTS TRUST LIMITED,EDINBURGH ST,"27 EDINBURGH STREET
PUKEKOHE
FRANKLIN 1800",AUCKLAND COUNCIL - FRANKLIN,18
GRASSROOTS TRUST LIMITED,THE VILLAGE BAR & KITCHEN PATUMAHOE,"1 PATUMAHOE ROAD
PATUMAHOE
FRANKLIN 1850",AUCKLAND COUNCIL - FRANKLIN,18
Masse Incorporated,MASSE PUKEKOHE,"21 MASSEY ROAD
PUKEKOHE
FRANKLIN 1800",Auckland Council - Franklin,18
New Zealand Community Trust,COUNTIES INN,"25 PAERATA ROAD
PUKEKOHE
FRANKLIN 1800
NEW ZEALAND",AUCKLAND COUNCIL - FRANKLIN,18
PELORUS TRUST,PATUMAHOE HOTEL,"CORNER KINGSEAT AND MAUKU ROADS
PATUMAHOE
FRANKLIN 1850",Auckland Council - Franklin,18
WAIUKU COSMOPOLITAN CLUB INC,WAIUKU COSMOPOLITAN CLUB,"4 VICTORIA AVENUE
WAIUKU
FRANKLIN 2123",Auckland Council - Franklin,18
GRASSROOTS TRUST LIMITED,Westgate Bowling,"SHOP L4 WESTGATE POWER CENTRE
MASSEY
AUCKLAND 0614",AUCKLAND COUNCIL - HENDERSON - MASSEY,18
